,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
1925,1926,12.0,Reserva Estate Bottled,Sauvignon Blanc,,,Maule Valley,Chile,Tricky Rabbit,theres nothing  tricky   dilute mealy smelling sauvignon blanc thats blended  10 carmenère   reason  cant explain  drawing whitegrape tannins  tastes green  citrusy   scallion note   finish,tricky blended green,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
1926,1927,9.0,Reserva,Pedro Ximénez,,,Elqui Valley,Chile,Falernia,aromas  orange  tangerine  oily   nose melon papaya  almondskin flavors end  creamy lees notes  give way  bitterness   dilute finish,oily,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1927,1928,13.0,Single Vineyard,Sauvignon Blanc,,,Leyda Valley,Chile,Chono, opens like  exploding hand grenade filled  pyrazines  jalapeño extract  narrow acidic palate  lacking  depth   least  fresh briny green flavors  jalapeño  bell peppers never let go   finish  tart  green   lasting note  bell pepper,narrow acidic palate least green,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
1928,1929,35.0,Riserva,Red Blend,Vino Nobile di Montepulciano,,Tuscany,Italy,Carpineto,  structured wine aromas recall meat juices black plum bell pepper  cooking spices  dense palate delivers fleshy black cherry  black currant accented  black pepper clove  espresso still young   brooding tannins  need time  tame drink 20162023,structured black dense fleshy black black accented black tame,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
1929,1930,18.0,Vinha Grande Branco,Portuguese White,,,Douro,Portugal,Casa Ferreirinha, finely made wine   smooth  ripe   mix  citrus melon  tropical fruits   balanced touched  light wood aging  feels rich  also elegant  wine can  drunk   next year giving  delicious fruity character,smooth ripe tropical light rich elegant drunk next delicious,"0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0"
1930,1931,28.0,Monte Cascas Reserva,Portuguese Red,,,Douro,Portugal,Casca Wines,showing strong dense structure    full tannic wine  starts tough  dry   palate  fruit comes  slowly revealing red berry flavors  needs  age  dont drink  2015,strong dense full tannic tough dry,"0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0"
1931,1932,35.0,Estate,Red Blend,Capay Valley,Central Valley,California,US,Casey Flat Ranch, intense blend  cabernet sauvignon syrah cabernet franc  mourvèdre  dusty  cassis  leather  nice layers  blackberry  tightly wound  grippy  wine offers nuanced shades  herb  cedar   long satisfying finish,intense dusty nice wound grippy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1932,1933,45.0,Millennio,Sangiovese,Chianti Classico,,Tuscany,Italy,Castello di Cacchiano,made entirely  sangiovese   primary aromas  underbrush woodland berries  tobacco  concentrated palate delivers ripe plum prune  black cherry accented  black pepper   note  vanilla alongside  warmth  alcohol brawny round  delicious   already approachable drink  2017,sangiovese primary ripe black black approachable,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1933,1934,18.0,Treehouse Estate,Pinot Gris,Willamette Valley,Willamette Valley,Oregon,US,Vista Hills,ripe round  fleshy  brings generous tree fruits annotated  bright spices  clean fresh    hint  mint   finish,ripe fleshy generous bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
1934,1935,14.0,Lua Cheia em Vinhas Velhas,Portuguese Red,,,Douro,Portugal,Wines & Winemakers,made  old douro vines  wine  dark almost black  flavors  dense   color  rich   also fruity  blackberry flavor sweet tannins   cutting edge  acidity  give  lift   end drink  2020,old black dense rich sweet,"1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
1935,1936,17.0,Dom Dry,Riesling,,,Mosel,Germany,Bischöfliche Weingüter Trier,jasmine  honey notes  intensely aromatic   dry elegantly framed riesling  tightly focused   palate  crisp white peach  melonrind notes accompanied   refreshing  piercing lime acidity perfect   apéritif   accompany delicate fowl  cheese dishes,aromatic dry focused crisp refreshing delicate,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1936,1937,33.0,Quinta da Fonte do Ouro,Touriga Nacional,,,Dão,Portugal,Boas Quintas, classic structured dão wine    firm still  packed  tannins  mineral texture wood aging  stony feel  balanced  dense berry fruits  juicy acidity  still needs time  either decant  wait  2016,classic balanced dense juicy decant,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0"
1937,1938,85.0,Erbacher Siegelsberg Grosse Lage,Riesling,,,Rheingau,Germany,Baron Knyphausen,sunny  ripe   nose  whiffs  honey orange rind  yellow raisin  dry fullbodied wine  textured  broad  palate  rich   streaked  mineral oil  cut  searing lemon  tangerine acidity  finishes moderately long   hint  floral flair,sunny ripe yellow broad rich streaked floral,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1938,1939,73.0,Erbacher Steinmorgen Erstes Gewächs Erstes Lage,Riesling,,,Rheingau,Germany,Baron Knyphausen,crisp stone fruit citrus  mineral tones lend  briskness  levity   dry fullbodied riesling  expansive  richly textured   palate   refreshing tangerine acidity  lingers   finish,crisp briskness dry expansive tangerine,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1939,1940,51.0,Hochheimer Domdechaney Erstes Gewächs Trocken,Riesling,,,Rheingau,Germany,Domdechant Werner,white grapefruit peach  blossom notes  perfumed  pretty   dry fullbodied riesling  palate feels weighty  ripe  bright  flavors  quince jelly  yellow plum along   zesty focused minerality  carries  start  finish,dry weighty ripe bright yellow zesty,"0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
1940,1941,46.0,Mountain Vineyards Reserve,Cabernet Sauvignon,Alexander Valley,Sonoma,California,US,Ferrari-Carano, impressive cabernet  one  need  cellaring  primary fruit flavors  blackberries  blueberries  delicious    fancy coating  smoky oak   tannins  rich  sweetly ripe give   2016  2017  begin  integrate,impressive primary fancy smoky rich ripe,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1941,1942,35.0,Reserva,Red Blend,Utiel-Requena,,Levante,Spain,Finca Casa Lo Alto,initial aromas  scratchy  piercing   airing  blend  syrah garnacha  cabernet sauvignon offers intriguing notes  vanilla tobacco  charcoal   mouth   undeniably thick  tannic flavors  saturated  suggest blackberry  cassis  finish leans toward syrupy  maintains acidity  balance drink  2018,initial intriguing thick tannic lean,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
1942,1943,30.0,Fumé Blanc Estate Grown Dry,Sauvignon Blanc,Napa Valley,Napa,California,US,Grgich Hills,like  label says  wine  absolutely dry  also  crisp  acidity   mouthwatering tartness    taste  freshlysqueezed lime juice  fruit flavors also include pineapples grapefruits  meyer lemons  slightly richer notes  peaches  asian pears  elegant sauvignon   easy  find    11600 cases produced,dry crisp rich elegant easy,"0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
1943,1944,38.0,Mentor,Cabernet Sauvignon,Barossa,,South Australia,Australia,Peter Lehmann,   fullbodied yet crisp  firmly tannic cabernet  appears  need   cellaring  prominent eucalyptus character accents notes  cassis  espresso   finish   bit tough  gritty   stage try 20182025,crisp tannic prominent tough gritty,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
1944,1945,54.0,Reserve,Chardonnay,,,Hawke's Bay,New Zealand,Clearview, fullbodied ripe lush wine boasts layers  peach  pineapple fruit  verge   overly tropical    edge  citrusy acidity  pulls  back   brink delicious   next year  two,ripe lush tropical next,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1945,1946,21.0,Mád Cuvée Late Harvest,Tokaji,,,Hungary,Hungary,Royal Tokaji,offering great bang   buck  lateharvest selection leads  seductive aromas  caramelized apricot  baked apple   flavors  freshly baked pear apple tart  honeycomb   creamy mouthfeel  balanced acidity  lifts  palate,seductive,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1946,1947,27.0,En Paradis,Chardonnay,Arbois,,France Other,France,Rijckaert,   densely textured wine full  flavors  lemon zest  green apples  intense fruitiness lights  palate   crisp feel  well  final tight acidity,full green intense crisp final,"0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0"
1947,1948,32.0,Gelblack Feinherb,Riesling,,,Rheingau,Germany,Schloss Johannisberger,smoke  dried herb notes accent sunny citrus  peach aromas   refreshingly offdry riesling flavors  tart stone fruit  tangerine bristle   palate finishing crisply   hint  floral perfume,accent sunny tangerine floral,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1948,1949,40.0,Brut,Champagne Blend,Champagne,,Champagne,France,Henri Abele,despite    ownership  cava house freixenet henri abelé remains little known  brut nonvintage   finely made wine   sweeter side  brut  certainly wellbalanced  crisp   champagne   also  good value,sweet crisp,"0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1949,1950,45.0,Cargasacchi Jalama Vineyard,Pinot Noir,Santa Barbara County,Central Coast,California,US,Waltzing Bear,aged   two years  50 new french barrels  wine smells  especially tastes  oaky  caramel  toast notes  overwhelm  underlying wine    wood   dry crisp pinot noir  red currant flavors  wines sourced   santa rita hills vineyard   outstanding,aged french dry crisp outstanding,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1950,1951,47.0,Rosé Premier Cru Brut,Champagne Blend,Champagne,,Champagne,France,J. Dumangin Fils,soft  rounded    full style  rosé pushing red berry fruits ripe strawberries right   front   palate  means   soft   relatively high dosage  acidity acting   supporting role  give  shape,soft rounded full ripe right front soft high,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
1951,1952,36.0,L'Ange Rouge,Grenache,Santa Barbara County,Central Coast,California,US,McPrice Myers, little heavy  soft    technically dry  wine   chocolatecovered raspberry taste sprinkled  anise liqueur  made  seem sweeter   really   high alcohol tasty  needs greater structure  finesse,heavy soft dry anise sweet high tasty great,"0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1952,1953,,Brut Rosé,Champagne Blend,Champagne,,Champagne,France,Pommery,crisp dry packed  juicy red berries  still needs  bottle age    still easy  taste  red wine   used  give color   69 months     rich style  rosé  sweet strawberry  toast flavors,dry juicy red rich sweet,"0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
1953,1954,15.0,Crios,Torrontés,Salta,,Other,Argentina,Susana Balbo,smooth   bouquet  papaya melon    neutral fruit aromas  palate shows  teaspoon  two  sugary sweetness  melon mango  ripe apple flavors fill things   pleasant wine   lightly candied way   simple  basic  decidedly  bitter,neutral sugary pleasant simple basic bitter,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1954,1955,50.0,Vallerga Vineyard,Cabernet Sauvignon,Napa Valley,Napa,California,US,Thomas Fogarty, little hot  tannic   young port feeling except   wine   100 cabernet  totally dry hard  tell   going grown  yountville,hot tannic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
1955,1956,18.0,Indian Wells,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Chateau Ste. Michelle, indian wells cabernet sauvignon seems  little reductive   moment odd since  2005 vintage  forward almost fat   wine    bottle  quite  time   definitely  decanted  aired   serving   help  push  fruit flavors forward  finish  just slightly dilute   wine  wellmade  may just  suffering     occasional dumbness  strikes cabernet,reductive odd fat dilute occasional dumbness,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1956,1957,12.0,Estate Bottled,Sauvignon Blanc,Uco Valley,,Mendoza Province,Argentina,Finca El Portillo,honest sauvignon aromas  citrus  grapefruit set   welcome mat  palate follows suit  varietally correct grapefruit  lime flavors   finish shows club soda   drying aspects   worldbeater   pleasing wine,honest welcome correct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1957,1958,57.0,Premier Cru Blanc de Blancs Premium Brut,Chardonnay,Champagne,,Champagne,France,J. Dumangin Fils, fresh applesandcream style  blanc de blancs    forward fruit character led  ripe acidity    sweetness   aftertaste   seems well integrated,ripe,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1958,1959,42.0,Bouchet,Red Blend,Santa Ynez Valley,Central Coast,California,US,Brander,made   two cabs plus syrah  bottling shows  typicity   rustic mouthfeel  exuberant berry spice  cocoa flavors   dry lusty red   happily wash  savory stews  roasts,rustic exuberant dry lusty savory stew,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1959,1960,15.0,Reserva,Pinot Noir,Mendoza,,Mendoza Province,Argentina,Chaltén, lean  clean specimen  basic  familiar raspberry  cherry aromas  palate   little thin  acidic    comes freshness flavors  cherry  mixed herbs  good  sharp   light dusting  pepper covers  lean snappy finish,lean basic familiar thin acidic sharp lean snappy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1960,1961,20.0,Sin Zin,Zinfandel,Alexander Valley,Sonoma,California,US,Alexander Valley Vineyards,jammy  thick    simple  lusty zin powerful  fruity cherry blackberry  cola flavors  finish dry  spicy great  barbecued steak,simple lusty powerful dry spicy,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1961,1962,40.0,Estate Collection,"Corvina, Rondinella, Molinara",Amarone della Valpolicella,,Veneto,Italy,Sartori,sartoris estate collection amarone delivers soapyfloral notes  recall dried lavender  rosehip potpourri  feminine bouquet  attractive  smell   oddly reinforced   mouth    wines inherent sweetness pair  meats marinated  thyme rosemary   fragrant herbs,soapyfloral inherent rosemary fragrant,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1962,1963,35.0,Jack London Vineyard,Cabernet Sauvignon,Sonoma Valley,Sonoma,California,US,Kenwood,peppery  hot  blackberry  currant flavors wrapped  firm tannins  showing much openness now  feels like    potential  develop    years   bottle,hot much potential,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1963,1964,16.0,Collection,Chardonnay,California,California Other,California,US,Stonegate,toasty oak pineapples oranges  vanilla combine   chardonnay  make   easydrinking everyday sipper  seems little sweet like jam,everyday sweet,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1964,1965,12.0,Altos del Plata,Chardonnay,Mendoza,,Mendoza Province,Argentina,Terrazas de Los Andes,chunky  murky   nose  melon  papaya aromas feels round  light   center  vanilla pear  melon flavors fleshy  simple   finish,round light fleshy simple,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
1965,1966,18.0,Clasico,Bonarda,Mendoza,,Mendoza Province,Argentina,Tierra Prometida,plum red berry  wild herb aromas combine  create  briary whole   airs  nose turns lemony  hard   mouthfeel  tight  limited  herbal saucy red berry flavors tomato  basil notes appear   finish,briary whole hard limited herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
1966,1967,22.0,Campo di Marzo,Sangiovese Grosso,Rosso di Montalcino,,Tuscany,Italy,Il Valentiano,theres  ripe jammy aroma   bouquet   wine   soon followed  toasted espresso rum cake spice  tobacco  finish  harsh  strong thanks   combination  alcohol  high acidity,ripe toasted harsh strong high,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1967,1968,7.0,Sustainable Agriculture Perlè,Moscato,,,Western Cape,South Africa,Makulu, spritzy  effervescent selection  carbonation helps  lift  inherent sweet fruit aromas  flavors  guava peach  mushy pear  ideal choice   warm summer day   pool served  cold,inherent sweet ideal warm cold,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1968,1969,16.0,Vine Age Series,Zinfandel,California,California Other,California,US,XYZin, simple rustic zinfandel sweet  fruity  cherry jam red licorice bacon  spice flavors wrapped  robust tannins  grapes  sourced  sonoma mendocino  lodi,simple rustic sweet robust,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1969,1970,15.0,Stella Rosa Il Conte Orange Moscato Fior d'Arancio,Moscato,Colli Euganei,,Veneto,Italy,Poderi Arancio, sweet sparkling wine opens   pungent tone  freshly squeezed tangerine skin  citrus   grapefruit   back  wine   sweet  foamy   touch  citruslike acidity   close,sweet pungent sweet foamy,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1970,1971,14.0,Rosato,Moscato,Piedmont,,Piedmont,Italy,Tosti,moscato rosato   sweet sparkling rosé   bright raspberry color  tangy layers  forest fruit  lemon soda theres  sharp almost pungent aspect   effervescence  removes  heaviness  cloying quality   wines natural sugar content,sweet bright sharp pungent natural,"0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
1971,1972,10.0,Cortijo III,Tempranillo-Garnacha,Rioja,,Northern Spain,Spain,Cortijo,smells flat  sweet   plasticlike essence zesty  feel  angular  tangy acids  candied redfruit flavors along   pinch  dry spice tastes oaky   finish tempranillo  20 garnacha,flat sweet angular dry,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1972,1973,12.0,Luna Benegas,Cabernet Sauvignon,Mendoza,,Mendoza Province,Argentina,Benegas,citric smelling  clipped aromas  berry fruits choppy tannins heat  raisiny sweet cooked berry flavors  stemmy notes finish herbal tasting  full  feel,clipped choppy sweet herbal full,"0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
1973,1974,16.0,Don David Reserve,Cabernet Sauvignon,Calchaquí Valley,,Other,Argentina,Michel Torino,cloudy   eye  overly green aromas  tomato  bell pepper along  spice  dried cherry feels hot  acidic   clipped cutting palate full  berry flavors herbs  green pepper fresh  herbal   finish,cloudy green hot acidic full herbal,"0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0"
1974,1975,18.0,Brooster Fighting Red,Red Blend,Paso Robles,Central Coast,California,US,Pomar Junction, soft  structure  sweet  like berry fruit concentrate fans  sweet simple red wines  like  blend  cabernet sauvignon syrah  zinfandel,soft sweet sweet simple red,"0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
1975,1976,13.0,KrimSekt White Collection Brut,Sparkling Blend,,,Ukraine,Ukraine,Artemovsk, nose   tad dusty  hints  unripe fruit  leaves   palate   brut sparkling  clean  lemony   sharp steely profile aggressive   attack   stark brisk acidity  finishes  abundantly mouthfilling froth,dusty sharp aggressive stark brisk,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1976,1977,22.0,Signature Selection,Merlot,Paso Robles,Central Coast,California,US,Bianchi, wine   geneseo district offers aromas  sour plums  just enough cigar box  tempt  nose  flavors   bit flat  first   acidity  tension  sour cherries emerges   midpalate bolstered   black licorice,sour enough flat first sour midpalate black,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1977,1978,30.0,Felix,Malbec,Cafayate,,Other,Argentina,Felix Lavaque,baked plum molasses balsamic vinegar  cheesy oak aromas feed   palate thats braced   bolt  acidity  compact set  saucy redberry  plum flavors features tobacco  peppery accents   finish  mildly green  flavor  respectable weight  balance,baked balsamic braced compact green respectable,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
1978,1979,13.0,Winemaker Selection,Malbec,Mendoza,,Mendoza Province,Argentina,Gaucho Andino,raw blackcherry aromas  direct  simple  good    juicy feel  thickens  time  oak character  extract becoming  apparent  flavor profile driven  darkberry fruits  smoldering oak finishes meaty  hot,raw direct simple juicy apparent hot,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
1979,1980,27.0,Les Natures,Pinot Gris,Alsace,,Alsace,France,Jean-Baptiste Adam,  great depth  flavor   fresh apple  pear fruits  touch  spice   dry  balanced  acidity   crisp texture drink now,balanced crisp,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1980,1981,19.0,Mountain Cuvée,Cabernet Sauvignon,Napa Valley,Napa,California,US,Kirkland Signature,soft supple plum envelopes  oaky structure   cabernet supported  15 merlot coffee  chocolate complete  picture finishing strong   end resulting   valuepriced wine  attractive flavor  immediate accessibility,soft supple oaky merlot complete strong immediate,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1981,1982,,Rosso,Nerello Mascalese,Etna,,Sicily & Sardinia,Italy,Masseria Setteporte,  dominated  oak  oakdriven aromas  include roasted coffee bean espresso coconut  vanilla  carry    palate together  plum  chocolate astringent drying tannins give   rather abrupt finish,roasted abrupt,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1982,1983,25.0,Kaid,Sauvignon,Sicilia,,Sicily & Sardinia,Italy,Alessandro di Camporeale,aromas  exotic fruit cut grass  crushed tomato vine lead  nose   palate hints  fresh mediterranean herb add interest   grapefruit  lime flavors firm acidity gives   zesty finish,exotic zesty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1983,1984,20.0,Picos Pardos Fusión,Garnacha,Calatayud,,Northern Spain,Spain,Castillo de Maluenda,jammy creamy oaky aromas  vanilla  raspberry come   strong hint  rubber  wet dog   oaky   moderately well balanced  flavors  cough medicine raw oak plum  raspberry  sticky oaky residual feel drives  finish,strong wet sticky oaky residual,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1984,1985,65.0,Valle de Napa,Cabernet Sauvignon,Napa Valley,Napa,California,US,Borjón, layering  100 new french oak takes center stage   wine   leathery  rustic black currant  tightgrain tannin compete  attention atop  noticeable seasoning  dried herb,french rustic compete noticeable,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1985,1986,18.0,Smokey Hollow,Riesling,Old Mission Peninsula,,Michigan,US,Bowers Harbor,fresh lemon  crushed mineral tones ride  restrained aromas  tart peach  apple skin  palate shows underripe pear  sour lemon   finish reminiscent  pixy stix,restrained sour reminiscent pixy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1986,1987,24.0,DeAetna,Red Blend,Etna,,Sicily & Sardinia,Italy,Costantino,aromas  wild flower pink grapefruit  savory herb lead  nose  palate   bit lean  reveals citrus raw cherry   hint  sage,savory lean citrus raw,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1987,1988,11.0,Perlita,Chardonnay,Uco Valley,,Mendoza Province,Argentina,DiamAndes,tropicalfruit aromas  balanced  crisper apple  pear scents   palate  plump round  easygoing flavors  pear melon green banana  wood spice end creamy   adequate acidic cut,tropicalfruit plump round easygoing green adequate acidic,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
1988,1989,25.0,Tradition,Gewürztraminer,Alsace,,Alsace,France,Emile Beyer,  sense  structure  balance  honey  fruit    attractive foodfriendly wine    dry although  spice core gives  drier edge allow  wine    months  bottle drink  late 2015,dry dry,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1989,1990,36.0,Signature Edition,Chardonnay,Russian River Valley,Sonoma,California,US,McIlroy,tropical fruit drips   barrelfermented chardonnay accented  golden honey  toasted oak crisp  first  oaky  feels  bit disjointed  manages  resolve  issues   finish  nice combination   two,tropical golden crisp first disjointed nice,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1990,1991,25.0,Barrel Select,Tempranillo,Umpqua Valley,Southern Oregon,Oregon,US,Sweet Cheeks,strongly minty   streak  wintergreen  barrel selection comes   right ava  oregon tempranillo    fully capture  varietal flavors   earthy tart generic red wine  drying tannins   short finish,right varietal earthy tart generic red short,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0"
1991,1992,30.0,Graacher Himmelreich Spätlese,Riesling,,,Mosel,Germany,Dr. Heidemanns-Bergweiler,bruised apple  smoke notes penetrate throughout  pert delicately framed riesling rich honey  peach flavors cast warmth onto  tart briskly acidic midpalate,rich tart briskly acidic,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1992,1993,15.0,Vilata Old Vines,Monastrell-Syrah,Jumilla,,Levante,Spain,Lo Nuevo,aromas  char tinny metal raspberry  matchstick   disadvantage    mouth  turns  corner via jammy ripeness  oaky flavors  herbal blueberry  cassis loamy big  ripe   finish  melds meaty tannins  candied sweet oaky flavors  blend  85 monastrell  syrah,herbal blueberry big ripe sweet,"0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
1993,1994,24.0,PdM Moncayo,Garnacha,Campo de Borja,,Northern Spain,Spain,Pagos del Moncayo, discloses funk rubber  sulfur   otherwise   good  chunky  beefy garnacha aromas  rubber  scrambled egg veer toward boysenberry  cassis   palate  grabby  jammy flavors  baked black fruits prune  licorice finish pasty  oaky   note  sweet plastic,chunky beefy black sweet,"1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1994,1995,20.0,Old Scratch,Chardonnay,Columbia Valley (WA),Columbia Valley,Washington,US,Gorman, aromas  redolent  notes  candy corn peach  spice  palate  full bodied  rich   layered creamy feel   stonefruit flavors  shows  warmth   finish,full bodied rich layered,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
1995,1996,18.0,Cellar Selection,Sauvignon Blanc,,,Marlborough,New Zealand,Villa Maria,round  ample   mouth  mediumfullbodied wine combines green notes  cut grass  snap pea  ripe stone fruit  ends crisp  grapefruity   fine example  marlborough sauvignon thats widely available  well priced,ample green ripe crisp available,"0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
1996,1997,25.0,Gemini,Semillon-Sauvignon Blanc,Napa Valley,Napa,California,US,Volker Eisele Family Estate, delightfully memorable blend  76 sémillon  24 sauvignon blanc    lithe crisp  mediumbodied experience  grapes  organically grown wholecluster pressed  fermented  stainless steel  shines  meyer lemon  wet stone just  hint  creamy tropical fervor bubbling beneath  surface,memorable lithe crisp stainless creamy tropical,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1997,1998,42.0,Single Vineyard Series Lewis Vineyard,Syrah,Columbia Valley (WA),Columbia Valley,Washington,US,Trust,pungent aromas  herbs cherry cola orange peel  dark fruit lead  wellbalanced bluefruit flavors  shows  lot  purity  appeal  well  good length,pungent dark,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
1998,1999,70.0,Les Peuillets Premier Cru,Pinot Noir,Savigny-lès-Beaune,,Burgundy,France,Domaine de Bellene, negociant nicolas potels  vines  wine  dense  smoky   spice  hints  licorice  well  rich redcherry fruit  tannins   structure   wine promise aging  drink  concentrated wine  2020,dense smoky rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
1999,2000,30.0,Alexandrine,Rhône-style White Blend,Paso Robles,Central Coast,California,US,Dubost,beeswax light yellow melon yellow peach   touch  peach custard show   nose   blend  grenache blanc roussanne picpoul blanc  viognier lime zest  yellow pear dominate  palate   light fresh intriguingly textured  full  acidic sizzle,yellow yellow yellow full acidic,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2000,2001,32.0,Montée de Tonnerre Premier Cru,Chardonnay,Chablis,,Burgundy,France,Etienne Boileau,crisp  steely    bright  fruity wine    tight texture cut  acidity  citrus flavors  wine  lively packed  fruitiness    delicious refreshing aftertaste drink  late 2017,crisp bright refreshing,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
