,wid,points,title,description,taster_name,taster_twitter_handle
1933,1934,90,Vista Hills 2012 Treehouse Estate Pinot Gris (Willamette Valley),"Ripe, round and fleshy, this brings generous tree fruits annotated with bright spices. It's clean, fresh and has a hint of mint in the finish.",Paul Gregutt,@paulgwine 
1934,1935,90,Wines & Winemakers 2012 Lua Cheia em Vinhas Velhas Red (Douro),"Made from old Douro vines, this wine is dark, almost black, with flavors as dense as its color. While rich, it is also fruity with blackberry flavor, sweet tannins and a cutting edge of acidity to give a lift at the end. Drink until 2020.",Roger Voss,@vossroger
1935,1936,90,Bischöfliche Weingüter Trier 2012 Dom Dry Riesling (Mosel),"Jasmine and honey notes are intensely aromatic on this dry, elegantly framed Riesling. It's tightly focused on the palate, with crisp white peach and melon-rind notes accompanied by a refreshing, but piercing lime acidity. Perfect as an apéritif, or to accompany delicate fowl or cheese dishes.",Anna Lee C. Iijima,
1936,1937,90,Boas Quintas 2009 Quinta da Fonte do Ouro Touriga Nacional (Dão),"A classic structured Dão wine that is very firm still and packed with tannins. Its mineral texture, wood aging and stony feel are balanced by dense berry fruits and juicy acidity. It still needs time, so either decant or wait until 2016.",Roger Voss,@vossroger
1937,1938,90,Baron Knyphausen 2010 Erbacher Siegelsberg Grosse Lage Riesling (Rheingau),"Sunny and ripe on the nose, with whiffs of honey, orange rind and yellow raisin, this dry, full-bodied wine is textured and broad. The palate is rich, as if streaked with mineral oil, but cut with searing lemon and tangerine acidity. It finishes moderately long, with a hint of floral flair.",Anna Lee C. Iijima,
1938,1939,90,Baron Knyphausen 2011 Erbacher Steinmorgen Erstes Gewächs Erstes Lage Riesling (Rheingau),"Crisp stone fruit, citrus and mineral tones lend a briskness and levity to this dry, full-bodied Riesling. It's expansive and richly textured on the palate, with a refreshing tangerine acidity that lingers on the finish.",Anna Lee C. Iijima,
1939,1940,90,Domdechant Werner 2011 Hochheimer Domdechaney Erstes Gewächs Trocken Riesling (Rheingau),"White grapefruit, peach and blossom notes are perfumed and pretty on this dry, full-bodied Riesling. The palate feels weighty and ripe, but bright, with flavors of quince jelly and yellow plum, along with a zesty, focused minerality that carries from start to finish.",Anna Lee C. Iijima,
1940,1941,90,Ferrari-Carano 2010 Mountain Vineyards Reserve Cabernet Sauvignon (Alexander Valley),"An impressive Cabernet, but one in need of cellaring. The primary fruit flavors of blackberries and blueberries are delicious, as is the fancy coating of smoky oak. And the tannins are rich and sweetly ripe. Give it until 2016 or 2017 to begin to integrate.",Anonymous,
1941,1942,90,Finca Casa Lo Alto 2009 Reserva Red (Utiel-Requena),"Initial aromas are scratchy and piercing, but with airing this blend of Syrah, Garnacha and Cabernet Sauvignon offers intriguing notes of vanilla, tobacco and charcoal. In the mouth, this is undeniably thick and tannic. Flavors are saturated and suggest blackberry and cassis. The finish leans toward syrupy but maintains acidity for balance. Drink through 2018.",Michael Schachner,@wineschach
1942,1943,90,Grgich Hills 2012 Fumé Blanc Estate Grown Dry Sauvignon Blanc (Napa Valley),"Like the label says, this wine is absolutely dry. It's also very crisp in acidity, with a mouthwatering tartness that has the taste of freshly-squeezed lime juice. The fruit flavors also include pineapples, grapefruits and Meyer lemons, with slightly richer notes of peaches and Asian pears. This elegant Sauvignon should be easy to find, with more than 11,600 cases produced.",Anonymous,
1943,1944,90,Peter Lehmann 2008 Mentor Cabernet Sauvignon (Barossa),"This is a full-bodied yet crisp and firmly tannic Cabernet that appears in need of further cellaring. A prominent eucalyptus character accents notes of cassis and espresso, while the finish is a bit tough and gritty at this stage. Try 2018–2025.",Joe Czerwinski,@JoeCz
1944,1945,90,Clearview 2009 Reserve Chardonnay (Hawke's Bay),"This full-bodied, ripe, lush wine boasts layers of peach and pineapple fruit that verge on being overly tropical, but has an edge of citrusy acidity that pulls it back from the brink. Delicious over the next year or two.",Joe Czerwinski,@JoeCz
1945,1946,90,Royal Tokaji 2010 Mád Cuvée Late Harvest Tokaji (Hungary),"Offering great bang for the buck, this late-harvest selection leads with seductive aromas of caramelized apricot and baked apple. It has flavors of freshly baked pear, apple tart and honeycomb, with a creamy mouthfeel and balanced acidity that lifts the palate.",Jeff Jenssen,@worldwineguys
1946,1947,90,Rijckaert 2011 En Paradis Chardonnay (Arbois),"This is a densely textured wine, full of flavors of lemon zest and green apples. The intense fruitiness lights the palate with a crisp feel as well as final, tight acidity.",Roger Voss,@vossroger
1947,1948,90,Schloss Johannisberger 2011 Gelblack Feinherb Riesling (Rheingau),"Smoke and dried herb notes accent sunny citrus and peach aromas on this refreshingly off-dry Riesling. Flavors of tart stone fruit and tangerine bristle on the palate, finishing crisply, with a hint of floral perfume.",Anna Lee C. Iijima,
1948,1949,86,Henri Abele NV Brut  (Champagne),"Despite being under the ownership of Cava house Freixenet, Henri Abelé remains little known. This Brut nonvintage is a finely made wine, on the sweeter side of Brut, but certainly well-balanced and crisp. For a Champagne, it is also a good value.",Roger Voss,@vossroger
1949,1950,86,Waltzing Bear 2005 Cargasacchi Jalama Vineyard Pinot Noir (Santa Barbara County),"Aged more than two years in 50% new French barrels, this wine smells and especially tastes too oaky, with caramel and toast notes that overwhelm the underlying wine. Below all that wood is a dry, crisp Pinot Noir with red currant flavors. Other wines sourced from this Santa Rita Hills vineyard have been outstanding.",Anonymous,
1950,1951,86,J. Dumangin Fils NV Rosé Premier Cru Brut  (Champagne),"Soft and rounded, this is a full style of rosé, pushing red berry fruits, ripe strawberries right to the front of the palate. That means it is soft, with a relatively high dosage, the acidity acting in a supporting role to give some shape.",Roger Voss,@vossroger
1951,1952,86,McPrice Myers 2006 L'Ange Rouge Grenache (Santa Barbara County),"A little heavy and soft, and while it's technically dry, the wine has a chocolate-covered raspberry taste, sprinkled with anise liqueur, and made to seem sweeter than it really is from high alcohol. Tasty, but needs greater structure and finesse.",Anonymous,
1952,1953,86,Pommery NV Brut Rosé  (Champagne),"Crisp, dry, packed with juicy red berries. This still needs some bottle age, because it is still easy to taste the red wine that was used to give color. But in 6–9 months, this will be a rich style of rosé, with sweet strawberry and toast flavors.",Roger Voss,@vossroger
1953,1954,86,Susana Balbo 2007 Crios Torrontés (Salta),"Smooth on the bouquet, with papaya, melon and other more neutral fruit aromas. The palate shows a teaspoon or two of sugary sweetness, while melon, mango and ripe apple flavors fill things out. A pleasant wine with a lightly candied way to it. Simple and basic, and decidedly not bitter.",Michael Schachner,@wineschach
1954,1955,86,Thomas Fogarty 2004 Vallerga Vineyard Cabernet Sauvignon (Napa Valley),"A little hot and tannic, with a young Port feeling, except that the wine, which is 100% Cabernet, is totally dry. Hard to tell where it's going. Grown in Yountville.",Anonymous,
1955,1956,86,Chateau Ste. Michelle 2005 Indian Wells Cabernet Sauvignon (Columbia Valley (WA)),"The Indian Wells Cabernet Sauvignon seems a little reductive at the moment; odd, since the 2005 vintage was forward, almost fat, and the wine has been in bottle for quite some time. It should definitely be decanted and aired out before serving, which will help to push the fruit flavors forward. The finish is just slightly dilute, but the wine is well-made and may just be suffering from some of the occasional dumbness that strikes Cabernet.",Paul Gregutt,@paulgwine 
1956,1957,86,Finca El Portillo 2008 Estate Bottled Sauvignon Blanc (Uco Valley),"Honest Sauvignon aromas of citrus and grapefruit set out the welcome mat. The palate follows suit with varietally correct grapefruit and lime flavors, while the finish shows club soda and other drying aspects. Not a world-beater but a pleasing wine.",Michael Schachner,@wineschach
1957,1958,86,J. Dumangin Fils NV Premier Cru Blanc de Blancs Premium Brut Chardonnay (Champagne),"A fresh, apples-and-cream style of Blanc de Blancs. It has a forward fruit character, led by ripe acidity. There is some sweetness in the aftertaste, but it seems well integrated.",Roger Voss,@vossroger
1958,1959,86,Brander 2006 Bouchet Red (Santa Ynez Valley),"Made from the two Cabs plus Syrah, this bottling shows its typicity in the rustic mouthfeel and exuberant berry, spice and cocoa flavors. It's a dry, lusty red that will happily wash down savory stews and roasts.",Anonymous,
1959,1960,86,Chaltén 2007 Reserva Pinot Noir (Mendoza),"A lean and clean specimen with basic but familiar raspberry and cherry aromas. The palate is a little thin and acidic, but with that comes freshness. Flavors of cherry and mixed herbs are good but sharp, while a light dusting of pepper covers the lean, snappy finish.",Michael Schachner,@wineschach
1960,1961,86,Alexander Valley Vineyards 2006 Sin Zin Zinfandel (Alexander Valley),"Jammy and thick, this is a simple but lusty Zin, powerful in fruity cherry, blackberry and cola flavors that finish dry and spicy. Great with barbecued steak.",Anonymous,
1961,1962,86,Sartori 2004 Estate Collection  (Amarone della Valpolicella),"Sartori's Estate Collection Amarone delivers soapy-floral notes that recall dried lavender and rosehip potpourri. The feminine bouquet is attractive to smell but is oddly reinforced in the mouth because of the wine's inherent sweetness. Pair with meats marinated with thyme, rosemary or other fragrant herbs.",Anonymous,
1962,1963,86,Kenwood 2005 Jack London Vineyard Cabernet Sauvignon (Sonoma Valley),"Peppery and hot, with blackberry and currant flavors wrapped into firm tannins. Not showing much openness now, but feels like it has the potential to develop with a few years in the bottle.",Anonymous,
1963,1964,84,Stonegate 2010 Collection Chardonnay (California),"Toasty oak, pineapples, oranges and vanilla combine in this Chardonnay to make it an easy-drinking everyday sipper. It seems little sweet, like jam.",Anonymous,
1964,1965,84,Terrazas de Los Andes 2010 Altos del Plata Chardonnay (Mendoza),"Chunky and murky on the nose, with melon and papaya aromas. Feels round but light in the center, with vanilla, pear and melon flavors. Fleshy and simple on the finish.",Michael Schachner,@wineschach
1965,1966,84,Tierra Prometida 2008 Clasico Bonarda (Mendoza),"Plum, red berry and wild herb aromas combine to create a briary whole. As it airs, the nose turns lemony and hard, while the mouthfeel is tight and limited, with herbal, saucy, red berry flavors. Tomato and basil notes appear on the finish.",Michael Schachner,@wineschach
1966,1967,84,Il Valentiano 2008 Campo di Marzo  (Rosso di Montalcino),"There's a ripe, jammy aroma on the bouquet of this wine that is soon followed by toasted espresso, rum cake, spice and tobacco. The finish is harsh and strong, thanks to a combination of alcohol and high acidity.",Anonymous,
1967,1968,84,Makulu NV Sustainable Agriculture Perlè Moscato (Western Cape),"A spritzy and effervescent selection, the carbonation helps to lift the inherent sweet fruit aromas and flavors of guava, peach and mushy pear. An ideal choice for a warm summer day by the pool, served very cold.",Lauren Buzzeo,@laurbuzz
1968,1969,84,XYZin 2009 Vine Age Series Zinfandel (California),"A simple, rustic Zinfandel, sweet and fruity in cherry jam, red licorice, bacon and spice flavors, wrapped into robust tannins. The grapes were sourced from Sonoma, Mendocino and Lodi.",Anonymous,
1969,1970,83,Poderi Arancio NV Stella Rosa Il Conte Orange Moscato Fior d'Arancio Moscato (Colli Euganei),"This sweet sparkling wine opens with a pungent tone of freshly squeezed tangerine skin, with citrus and more grapefruit at the back. The wine is very sweet and foamy with a touch of citrus-like acidity on the close.",Anonymous,
1970,1971,83,Tosti NV Rosato Moscato (Piedmont),"Moscato Rosato is a sweet sparkling rosé with a bright raspberry color and tangy layers of forest fruit and lemon soda. There's a sharp, almost pungent aspect to the effervescence that removes the heaviness or cloying quality of the wine's natural sugar content.",Anonymous,
1971,1972,83,Cortijo 2010 Cortijo III  (Rioja),"Smells flat and sweet, with a plastic-like essence. Zesty in feel but angular, with tangy acids and candied red-fruit flavors along with a pinch of dry spice. Tastes oaky on the finish. Tempranillo with 20% Garnacha.",Michael Schachner,@wineschach
1972,1973,83,Benegas 2008 Luna Benegas Cabernet Sauvignon (Mendoza),"Citric smelling, with clipped aromas of berry fruits. Choppy tannins, heat and raisiny, sweet, cooked berry flavors and stemmy notes finish herbal tasting but full in feel.",Michael Schachner,@wineschach
1973,1974,83,Michel Torino 2010 Don David Reserve Cabernet Sauvignon (Calchaquí Valley),"Cloudy to the eye, with overly green aromas of tomato and bell pepper, along with spice and dried cherry. Feels hot and acidic, with a clipped, cutting palate full of berry flavors, herbs and green pepper. Fresh but herbal on the finish.",Michael Schachner,@wineschach
1974,1975,83,Pomar Junction 2010 Brooster Fighting Red Red (Paso Robles),"Too soft in structure, and sweet, too, like berry fruit concentrate. Fans of sweet, simple red wines will like this blend of Cabernet Sauvignon, Syrah and Zinfandel.",Anonymous,
1975,1976,83,Artemovsk 2008 KrimSekt White Collection Brut Sparkling (Ukraine),"The nose is a tad dusty, with hints of unripe fruit and leaves, but the palate on this brut sparkling is clean and lemony, with a sharp, steely profile. Aggressive on the attack, with a stark, brisk acidity, it finishes with abundantly mouth-filling froth.",Anna Lee C. Iijima,
1976,1977,87,Bianchi 2011 Signature Selection Merlot (Paso Robles),"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",Matt Kettmann,@mattkettmann
1977,1978,87,Felix Lavaque 2010 Felix Malbec (Cafayate),"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",Michael Schachner,@wineschach
1978,1979,87,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",Michael Schachner,@wineschach
1979,1980,87,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,Roger Voss,@vossroger
1980,1981,87,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",Virginie Boone,@vboone
1981,1982,87,Masseria Setteporte 2012 Rosso  (Etna),"This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",Kerin O’Keefe,@kerinokeefe
1982,1983,86,Alessandro di Camporeale 2013 Kaid Sauvignon (Sicilia),"Aromas of exotic fruit, cut grass and crushed tomato vine lead the nose. On the palate, hints of fresh Mediterranean herb add interest to the grapefruit and lime flavors. Firm acidity gives it a zesty finish.",Kerin O’Keefe,@kerinokeefe
1983,1984,86,Castillo de Maluenda 2011 Picos Pardos Fusión Garnacha (Calatayud),"Jammy, creamy, oaky aromas of vanilla and raspberry come with a strong hint of rubber and wet dog. This is oaky and only moderately well balanced, with flavors of cough medicine, raw oak, plum and raspberry. A sticky, oaky residual feel drives the finish.",Michael Schachner,@wineschach
1984,1985,86,Borjón 2012 Valle de Napa Cabernet Sauvignon (Napa Valley),"A layering of 100% new French oak takes center stage in this wine, which is leathery and rustic. Black currant and tight-grain tannin compete for attention atop a noticeable seasoning of dried herb.",Virginie Boone,@vboone
1985,1986,86,Bowers Harbor 2013 Smokey Hollow Riesling (Old Mission Peninsula),"Fresh lemon and crushed mineral tones ride over restrained aromas of tart peach and apple skin. The palate shows underripe pear and sour lemon, with a finish reminiscent of Pixy Stix.",Alexander Peartree,
1986,1987,86,Costantino 2013 DeAetna Red (Etna),"Aromas of wild flower, pink grapefruit and savory herb lead the nose. The palate is a bit lean, but reveals citrus, raw cherry and a hint of sage.",Kerin O’Keefe,@kerinokeefe
1987,1988,86,DiamAndes 2013 Perlita Chardonnay (Uco Valley),"Tropical-fruit aromas are balanced by crisper apple and pear scents, while the palate is plump, round and easygoing. Flavors of pear, melon, green banana and wood spice end creamy but with adequate acidic cut.",Michael Schachner,@wineschach
1988,1989,86,Emile Beyer 2013 Tradition Gewurztraminer (Alsace),"With a sense of structure and balance between honey and fruit, this is an attractive, food-friendly wine. It is off dry although the spice core gives a drier edge. Allow the wine a few more months in bottle; drink from late 2015.",Roger Voss,@vossroger
1989,1990,86,McIlroy 2012 Signature Edition Chardonnay (Russian River Valley),"Tropical fruit drips from this barrel-fermented Chardonnay, accented in golden honey and toasted oak. Crisp at first, then oaky, it feels a bit disjointed but manages to resolve its issues on the finish, a nice combination of the two.",Virginie Boone,@vboone
1990,1991,86,Sweet Cheeks 2011 Barrel Select Tempranillo (Umpqua Valley),"Strongly minty with a streak of wintergreen, this barrel selection comes from the right AVA for Oregon Tempranillo, but does not fully capture the varietal flavors. It's an earthy, tart, generic red wine, with drying tannins and a short finish.",Paul Gregutt,@paulgwine 
1991,1992,86,Dr. Heidemanns-Bergweiler 2013 Graacher Himmelreich Spätlese Riesling (Mosel),"Bruised apple and smoke notes penetrate throughout this pert, delicately framed Riesling. Rich honey and peach flavors cast warmth onto its tart, briskly acidic midpalate.",Anna Lee C. Iijima,
1992,1993,86,Lo Nuevo 2012 Vilata Old Vines Monastrell-Syrah (Jumilla),"Aromas of char, tinny metal, raspberry and matchstick are a disadvantage, but in the mouth this turns the corner via jammy ripeness and oaky flavors of herbal blueberry and cassis. Loamy, big and ripe on the finish, this melds meaty tannins and candied, sweet, oaky flavors. The blend is 85% Monastrell with Syrah.",Michael Schachner,@wineschach
1993,1994,86,Pagos del Moncayo 2012 PdM Moncayo Garnacha (Campo de Borja),"This discloses funk, rubber and sulfur , but otherwise is a good but chunky and beefy Garnacha. Aromas of rubber and scrambled egg veer toward boysenberry and cassis, while the palate is grabby and jammy. Flavors of baked black fruits, prune and licorice finish pasty and oaky, with a note of sweet plastic.",Michael Schachner,@wineschach
1994,1995,91,Gorman 2015 Old Scratch Chardonnay (Columbia Valley (WA)),"The aromas are redolent with notes of candy corn, peach and spice. The palate is full bodied and rich, with a layered creamy feel to the stone-fruit flavors. It shows some warmth on the finish.",Sean P. Sullivan,@wawinereport
1995,1996,91,Villa Maria 2015 Cellar Selection Sauvignon Blanc (Marlborough),"Round and ample in the mouth, this medium-full-bodied wine combines green notes of cut grass and snap pea with ripe stone fruit, then ends crisp and grapefruity. It's a fine example of Marlborough Sauvignon that's widely available and well priced.",Joe Czerwinski,@JoeCz
1996,1997,91,Volker Eisele Family Estate 2014 Gemini Semillon-Sauvignon Blanc (Napa Valley),"A delightfully memorable blend of 76% Sémillon and 24% Sauvignon Blanc, this is a lithe, crisp and medium-bodied experience. The grapes were organically grown, whole-cluster pressed and fermented in stainless steel. It shines in Meyer lemon and wet stone, just a hint of creamy tropical fervor bubbling beneath the surface.",Virginie Boone,@vboone
1997,1998,91,Trust 2013 Single Vineyard Series Lewis Vineyard Syrah (Columbia Valley (WA)),"Pungent aromas of herbs, cherry cola, orange peel and dark fruit lead to well-balanced blue-fruit flavors. It shows a lot of purity and appeal as well as good length.",Sean P. Sullivan,@wawinereport
1998,1999,91,Domaine de Bellene 2014 Les Peuillets Premier Cru  (Savigny-lès-Beaune),"From negociant Nicolas Potel's own vines, this wine is dense and smoky. It has spice and hints of licorice as well as rich red-cherry fruit. The tannins and the structure of the wine promise aging, so drink this concentrated wine from 2020.",Roger Voss,@vossroger
1999,2000,91,Dubost 2015 Alexandrine White (Paso Robles),"Beeswax, light yellow melon, yellow peach and a touch of peach custard show on the nose of this blend of Grenache Blanc, Roussanne, Picpoul Blanc and Viognier. Lime zest and yellow pear dominate the palate, which is light, fresh, intriguingly textured and full of acidic sizzle.",Matt Kettmann,@mattkettmann
2000,2001,91,Etienne Boileau 2014 Montée de Tonnerre Premier Cru  (Chablis),"Crisp and steely, this is a bright and fruity wine. It has a tight texture cut with acidity and citrus flavors. The wine is lively, packed with fruitiness that has a delicious refreshing aftertaste. Drink from late 2017.",Roger Voss,@vossroger
2001,2002,91,JM Cellars 2013 Margaret's Vineyard Estate Red (Walla Walla Valley (WA)),"Cabernet Sauvignon (45%) takes the lead on this blend, followed by Merlot (30%), Cabernet Franc (20%) and Petit Verdot. The aromas are all high toned, with notes of vanilla, herb and dark fruit. The black-fruit flavors are tightly wound, needing time in the cellar to stretch their legs. Best after 2020.",Sean P. Sullivan,@wawinereport
2002,2003,91,Kaleidos 2013 Osiris Red (Paso Robles),"Aromas of maple and sweet hickory smoke emerge through the waves of purple fruit and lilacs on the nose of this small-batch blend of 52% Grenache, 27% Syrah and 21% Mourvèdre. The flavors are well integrated on the sip, with tangy boysenberry, a pinch of sage and crushed black-pepper spice, with a strong acidity that rises in the midpalate.",Matt Kettmann,@mattkettmann
2003,2004,91,L. Tramier & Fils 2013 Collection  (Corton),"With gentle tannins and juicy red fruits this is a ripe wine that is developing fast. It is beginning to get secondary flavors: mushrooms with undergrowth aromas. The fruit is still there, of course, giving red berry and acidity. Drink this wine soon, certainly from late 2017.",Roger Voss,@vossroger
2004,2005,91,Maison Stéphane Brocard 2014 Closerie des Alisiers Trilogie de Terroirs  (Pouilly-Fuissé),"Sourced from the same three parcels each vintage, this is shot through with minerality and tight acidity. There is fruit behind this tension and that gives the wine both balance and also aging potential. Drink this complex wine from 2018.",Roger Voss,@vossroger
2005,2006,91,Marisco Vineyards 2013 Craft Series The Journey Pinot Noir (Marlborough),"This high-end offering is a blend of New Zealand's own Abel clone with Dijon clone 777. Mocha, toast and charred wood notes fame pristine black cherry and plum fruit in this medium- to full-bodied wine. A dusty, lingering finish wraps things up nicely, suggesting up to 10 years of aging potential.",Joe Czerwinski,@JoeCz
2006,2007,91,Olivier Leflaive 2014 Narvaux  (Meursault),"Although this is not a premier cru, this 33-acre vineyard sits right next to some of Meursault's finest vines. The wine is mineral, tight and textured— a wine that should age. With touches of oak, spice and intense yellow fruits, it is ripe while still closed at this stage. It certainly needs aging and will be ready from 2019.",Roger Voss,@vossroger
2007,2008,91,Pascal Jolivet 2015 Les Caillottes  (Sancerre),"This wine comes from an 8.6-acre parcel of old vines above Jolivet's home village of Bué. It is mineral and tight, with concentration and intensity. The herbal character on this very young wine will soften into the fine fruitiness that is there. It needs to age a bit more, so drink from 2017.",Roger Voss,@vossroger
2008,2009,91,Peloton 2015 Spanish Springs Vineyard Albariño (San Luis Obispo),"Fresh yellow pear, yellow grapefruit and wet river-stone aromas leap from the glass on this fresh and crisp bottling from a winery led by longtime grape grower Bill Kesselring. It's very textural on the tingling palate, where the vibrant mix of acid and tannins reveal sweet then tangy apple flavors before settling into a lime and lemon-rind groove.",Matt Kettmann,@mattkettmann
2009,2010,91,Roche de Bellene 2014 Vieilles Vignes  (Savigny-lès-Beaune),Vines planted in 1947 are the source of this dark and concentrated wine. It has a strongly smoky character with dry tannins. They contrast with the potential of the red cherry and berry fruits that are ripe and juicy. The wine is developing well and should be ready to drink from 2019.,Roger Voss,@vossroger
2010,2011,91,Roux Père et Fils 2014 Combes au Sud Premier Cru  (Saint-Aubin),"Situated at the entrance to the Saint-Aubin valley, this chalky vineyard gives a wine with tight tense minerality. Its lemon and grapefruit flavors are bright with acidity. The wood aging shows through in vanilla flavors that give a smooth edge to the wine. Drink from 2019.",Roger Voss,@vossroger
2011,2012,91,Soos Creek 2013 Artist Series #13 Red (Columbia Valley (WA)),"This wine is an equal split between Cabernet Sauvignon and Cabernet Franc. Heady black cherry and dark-fruit aromas lead to pitch-black-fruit flavors, with the tannins combed to a fine sheen.",Sean P. Sullivan,@wawinereport
2012,2013,91,Swiftwater Cellars 2013 Reserve Cabernet Sauvignon (Columbia Valley (WA)),"Herb, wood spice, coffee and cherry aromas are followed by broad and generous black-fruit flavors. The tannins provide some grip and need time to settle in.",Sean P. Sullivan,@wawinereport
2013,2014,91,Tanner 2013 Estate Grown Petite Sirah (Sierra Foothills),"Richness and density highlight this full-bodied and deftly oaked wine that smells like baking spices and black pepper sprinkled on ripe black cherry and dark chocolate. The texture is very inviting, almost thick, and beautifully marries the ripe fruit with velvety tannins.",Jim Gordon,@gordone_cellars
2014,2015,91,Tablas Creek 2015 Patelin de Tablas Blanc White (Paso Robles),"This blend of 56% Grenache Blanc, 23% Viognier, 12% Roussanne and 9% Marsanne from nine vineyards offers a pretty nose that mixes Key lime, honeydew, just-ripe nectarine and lily florality. It's bright and fresh on the tightly wound and texturally intriguing sip, with lime pith and lemongrass flavors.",Matt Kettmann,@mattkettmann
2015,2016,91,Uvaggio 2014 Radix Vinea Zinfandel (El Dorado),"Concentrated fruit flavors, full body and a smooth, broad mouthfeel make this wine soothing and satisfying to drink. Made from vines growing on their own roots, the wine delivers a ripe berry and cherry character that floods the palate and lingers nicely on the finish.",Jim Gordon,@gordone_cellars
2016,2017,95,Guastaferro 2008 Primum  (Taurasi),"From one of Taurasi's rising stars, this gorgeous wine opens with enticing scents of underbrush, just-picked violet, dark berry and a whiff of cake spice. The balanced, full-bodied palate delivers layers of mature black cherry, raspberry, cinnamon, carob and cocoa while firm but refined tannins and fresh acidity provide an elegant, age-worthy structure. It's already tempting but hold for more complexity. Drink 2018–2033.",Kerin O’Keefe,@kerinokeefe
2017,2018,95,Malat 2014 Silberbichl Reserve Riesling (Kremstal),"Lifted notions of bergamot, lemon and grapefruit set a fragrant, almost heady tone. The same riot of citrus tumbles forth from the palate—there is a linear dynamic that exudes liveliness and drive. The direct juxtaposition of ripe juiciness and tart refreshment creates an irresistible moreishness. Yes, Austria can produce intensity in such a compact, neat package that provides pure thrill.",Anne Krebiehl MW,@AnneInVino
2018,2019,95,Malat 2014 Steinbühel Reserve Riesling (Kremstal),"Imagine a concentration of lemon juice in an airy cloud of freshness—that is the nose of this astonishing wine. On the palate the almost leafy spice of grapefruit peel shines through and reveals new but light-footed nuances of zesty citrus throughout, exuding both immense purity and charm.",Anne Krebiehl MW,@AnneInVino
2019,2020,95,Testarossa 2013 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),"Mossy, dank, forest-floor aromas of juniper, chaparral shrub, pencil lead and spiced porcini mushrooms mix with a cooked rhubarb character on the nose of this wine from single-vineyard specialist Bill Brosseau. Cranberry and tart cherry flavors are decorated with rainbow peppercorns, herb-crusted roast beef, bay leaf, eucalyptus and camphor, with layers upon layers of complexity.",Matt Kettmann,@mattkettmann
2020,2021,95,Bründlmayer 2014 Heiligenstein Alte Reben Reserve Riesling (Kamptal),"A rich, nutty note hints at hazelnut, with lively citrus laying underneath. This vein of lemony verve leads the melody like the soaring, unfettered notes of a violin against a sonorous background. This will always be firm but once it opens up, it will be even more harmonious and beguiling. Drink from 2020.",Anne Krebiehl MW,@AnneInVino
2021,2022,95,Emmerich Knoll 2014 Ried Loibenberg Smaragd Grüner Veltliner (Wachau),"Herbal spice and yeasty savor overlay shining, ripe and juicy pear flavor. This is a compact but complex blend of fruit and peppery punch. There is a fine seam of citrus freshness heightening and brightening every sensation, suggesting that there is more and more to come. While this is delicious now, it holds even more peppery fruit at its core.",Anne Krebiehl MW,@AnneInVino
2022,2023,95,Chateau Ste. Michelle & Dr. Loosen 2008 Single Berry Select Riesling (Columbia Gorge (WA)),"A full seven years old, this wine is amber in color. Aromas of dried apple and orange peel, honey and brown sugar fill the glass. It's supremely rich, honeyed and layered, showing exquisite depth and balance as well as exceptional length.",Sean P. Sullivan,@wawinereport
2023,2024,95,Emmerich Knoll 2014 Ried Kreutles Federspiel Grüner Veltliner (Wachau),"Fresh pear and lively yeast, peppery watercress and fresh citrus create a lively, appetizing nose. The palate bristles with wonderfully tingling citrus freshness that highlights all the aromatic aspects in turn: the fruitiness, the ripeness, the savory backdrop of yeast and the light-footed but concentrated core. This is still very young but so ready and utterly irresistible, yet with the mileage to age. Don't drink too quickly—you'll miss the chance of savoring the peppery aftertaste.",Anne Krebiehl MW,@AnneInVino
2024,2025,95,F X Pichler 2014 Dürnsteiner Kellerberg Smaragd Grüner Veltliner (Wachau),"Wonderfully ripe flavors of juicy, yellow pear precede everything. With a little air, the palate gives us the full ultraspicy force of true Grüner: a real hit of freshly ground white pepper, leesy yeast notes and herbal tinges of chervil, arugula and watercress, all bound up in a smooth, concentrated but compact package with lasting, savory length and a seam of freshness.",Anne Krebiehl MW,@AnneInVino
