wid,price,variety,designation,region,province,country,winery,encoded,color
563,18.0,Pinot Gris,Treehouse Estate,"Willamette Valley, Willamette Valley",Oregon,US,Vista Hills,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white
564,32.0,Red Blend,Vinnalunga,Emilia-Romagna,Central Italy,Italy,Lamoretti,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0", red
565,20.0,Verdicchio,Olivi Orhora,Toscana,Tuscany,Italy,Le Buche,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
566,60.0,Merlot,Reserve,"Russian River Valley, Sonoma",California,US,Ledson,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
567,17.0,Aligoté,Vieilles Vignes,Bourgogne Aligoté,Burgundy,France,Manuel Olivier,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
568,30.0,Red Blend,Txtura 1,nan,Valle de Guadalupe,Mexico,Paralelo,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
569,18.0,Glera,Dei Casel Extra Dry,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,Adami,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
570,19.0,Glera,26esimo I Brut,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,Andreola,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
571,20.0,Glera,Ius Naturae Millesimato Brut,Prosecco di Valdobbiadene Superiore,Veneto,Italy,Bortolomiol,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
572,25.0,Glera,Tre Venti Brut Millesimato,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,Zardetto,"0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1", white
573,35.0,Trebbiano di Lugana,Sergio Zenato Riserva,Lugana,Lombardy,Italy,Zenato,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1", white
574,34.0,Dolcetto,Vigna del Mandorlo,Dolcetto d'Alba,Piedmont,Italy,Elvio Cogno,"0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0", red
575,17.0,Cortese,La Rocca,Gavi,Piedmont,Italy,Coppo,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
576,13.0,Garganega,Vigna della Corte,Soave,Veneto,Italy,Corte Adami,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
577,40.0,Fumé Blanc,To Kalon Vineyard,"Napa Valley, Napa",California,US,Robert Mondavi,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
578,18.0,Red Blend,Tried and True Liberty,"Columbia Valley (WA), Columbia Valley",Washington,US,T.A.T.T,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
579,32.0,Cabernet Sauvignon,Sagemoor Vineyards,"Columbia Valley (WA), Columbia Valley",Washington,US,Tempus Cellars,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0", red
580,25.0,Nero di Troia,Ottagono Riserva,Castel del Monte,Southern Italy,Italy,Torrevento,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
581,22.0,Cabernet Sauvignon,Miamup,Margaret River,Western Australia,Australia,Howard Park,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
582,52.0,Red Blend,Secret Craving,"Paso Robles, Central Coast",California,US,LXV,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
583,30.0,Cabernet Franc,Proprietor's Special Reserve,"Hudson River Region, New York Other",New York,US,Millbrook,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
584,39.0,Red Blend,Edles Tal,nan,Carnuntum,Austria,Netzl,"0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0", red
585,45.0,Cabernet Sauvignon,Reserve,"Red Mountain, Columbia Valley",Washington,US,Henry Earl,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0", red
586,22.0,Red Blend,Los Niños Perdidos,"Alexander Valley, Sonoma",California,US,J. Rickards,"1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0", red
587,32.0,Pinot Noir,Alazan,nan,Casablanca Valley,Chile,Kingston Family,"1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
588,14.0,Sparkling Blend,Blanc de Noirs,"California, California Other",California,US,Korbel,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
589,24.0,Sauvignon Blanc,Costa,nan,Colchagua Valley,Chile,Koyle,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
590,25.0,Riesling,Jaraman,Clare Valley-Eden Valley,South Australia,Australia,Wakefield,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
591,15.0,Cabernet Sauvignon,Plunder,"Columbia Valley (WA), Columbia Valley",Washington,US,Ded.Reckoning,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
592,45.0,Pinot Noir,Fog-Eater,Anderson Valley,California,US,Drew,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
593,30.0,Grüner Veltliner,Schlossberg,nan,Wagram-Donauland,Austria,Fritsch,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
594,25.0,Malbec,Château Pech de Jammes,Cahors,Southwest France,France,Georges Vigouroux,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0", red
595,30.0,Red Blend,Zachary's Ladder,"Red Mountain, Columbia Valley",Washington,US,Gorman,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
596,19.0,Syrah,1865 Single Vineyard,nan,Cachapoal Valley,Chile,San Pedro,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0", red
597,25.0,Riesling,Ice,"Finger Lakes, Finger Lakes",New York,US,Standing Stone,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
598,22.0,Sparkling Blend,Va de Vi Iltra Cuvée,"Sonoma County, Sonoma",California,US,Gloria Ferrer,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
599,46.0,Pinot Noir,Estate,"Russian River Valley, Sonoma",California,US,Landy Family Vineyards,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
600,22.0,Tempranillo Blend,Gavanza,Rioja,Northern Spain,Spain,Maetierra Dominum,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red or white
601,35.0,Marsanne,Boushey Vineyard Petite Joie,"Yakima Valley, Columbia Valley",Washington,US,Maison Bleue,"0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0", white
602,,Rhône-style White Blend,Nostre Païs,Costières de Nîmes,Rhône Valley,France,Michel Gassier,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
603,22.0,Sparkling Blend,Brut Prestige,"Napa Valley, Napa",California,US,Mumm Napa,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white or rosé
604,16.0,Tempranillo,Crianza,Rioja,Northern Spain,Spain,Ramirez de la Piscina,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
605,19.0,Pinot Gris,Richard Dinner Vineyards,"Sonoma Mountain, Sonoma",California,US,Rocky Hill,"0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
606,28.0,Rhône-style White Blend,Southern White,"Washington, Washington Other",Washington,US,Rôtie Cellars,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
607,49.0,Pinot Noir,Bella Luna Vineyard,"Russian River Valley, Sonoma",California,US,Signaterra,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
608,16.0,Tempranillo,Roble,Ribera del Duero,Northern Spain,Spain,Vecordia,"0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0", red
609,45.0,Refosco,Passione Passito Cason Brusà,Veneto,Veneto,Italy,Beccarello,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
610,20.0,Cabernet Sauvignon,Lot 287,"Napa Valley, Napa",California,US,Cameron Hughes,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
611,22.0,Cabernet Sauvignon,Lot 267,"Spring Mountain District, Napa",California,US,Cameron Hughes,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
612,18.0,Meritage,Lot 278,"Spring Mountain District, Napa",California,US,Cameron Hughes,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
613,,Rhône-style Red Blend,Qu'es Aquo,Costières de Nîmes,Rhône Valley,France,Château d'Or et de Gueules,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
614,,Syrah,Tradition,Luberon,Rhône Valley,France,Château Val Joanis,"0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0", red
615,,Rosé,Vin Gourmand,Costières de Nîmes,Rhône Valley,France,Dauvergne & Ranvier,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
616,,Rhône-style Red Blend,Les Boudalles,Ventoux,Rhône Valley,France,Domaine Brusset,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
617,15.0,Rhône-style Red Blend,Instant Présent,Ventoux,Rhône Valley,France,Mas Oncle Ernest,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
618,12.0,Sparkling Blend,Brut Etoile,Vin Mousseux,France Other,France,Monmousseau,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
619,14.0,Pinot Noir,Reserve,"California, California Other",California,US,Red Rock,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
620,20.0,Riesling,Third Spoke Patrician Verona Vineyard,"Finger Lakes, Finger Lakes",New York,US,Single Wheel,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
621,32.0,Red Blend,Turas,nan,Idaho,US,Telaya,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
622,18.0,Sauvignon Blanc,Fernand & Sons,Coteaux du Giennois,Loire Valley,France,Thibault,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
623,23.0,Zinfandel,Old Vine,"Sonoma County, Sonoma",California,US,Sivas-Sonoma,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
624,11.0,Rosé,Moscato,Valencia,Levante,Spain,Tussock Jumper,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
625,,Chardonnay,La Classique,Chablis,Burgundy,France,Domaine Pascal Bouchard,"0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0", white
626,22.0,Rosé,Côte de Reigny,Sancerre,Loire Valley,France,Domaine Sautereau,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", pink
627,20.0,Pinot Noir,La Vallée des Vignes,Sancerre,Loire Valley,France,Eric Cottat,"0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0", red
628,40.0,Merlot,The Chairman Series,"Santa Ynez Valley, Central Coast",California,US,Firestone,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
629,28.0,Merlot,Oldfield Series,Okanagan Valley,British Columbia,Canada,Tinhorn Creek,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
630,65.0,Cabernet Sauvignon,Preston Vineyard,"Napa Valley, Napa",California,US,V. Sattui,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
631,13.0,Tempranillo-Cabernet Sauvignon,L'Alcalatén,Vino de la Tierra de Castelló,Levante,Spain,Les Useres,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
632,20.0,Rosé,Les Milets,Reuilly,Loire Valley,France,Joseph Mellot,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
633,20.0,Pinot Noir,Les Thureaux,Menetou-Salon,Loire Valley,France,Joseph Mellot,"0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
634,10.0,Tempranillo,Dolmo Roble,Ribera del Duero,Northern Spain,Spain,Vicente Gandia,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0", red
635,18.0,Sauvignon Blanc,Les Genêts Gris,Coteaux du Giennois,Loire Valley,France,Domaine de Villargeau,"0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0", white
636,37.0,Merlot,Estate Grown,"Walla Walla Valley (WA), Columbia Valley",Washington,US,L'Ecole No. 41,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
637,30.0,Alicante Bouschet,Reserve,"Paso Robles, Central Coast",California,US,Villa San Juliette,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
638,23.0,Pinot Gris,Cuvée Reine Clothilde Reserve,Alsace,Alsace,France,Wunsch & Mann,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
639,25.0,Chardonnay,Tondre Grapefield,"Santa Lucia Highlands, Central Coast",California,US,Tondré,"0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
640,49.0,Cabernet Sauvignon,Estate,"Walla Walla Valley (WA), Columbia Valley",Washington,US,Woodward Canyon,"0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
641,,Sparkling Blend,Rosé,nan,England,England,Hattingley Valley Wines,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
642,27.0,White Blend,Wow Oui,"Pine Mountain-Cloverdale Peak, Sonoma",California,US,Imagery,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
643,26.0,Gamay,Domaine des Hospices de Belleville,Fleurie,Beaujolais,France,Joseph Drouhin,"0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0", red
644,22.0,Gamay,Domaine des Hospices de Belleville,Morgon,Beaujolais,France,Joseph Drouhin,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
645,20.0,Syrah,Lucero,nan,Casablanca Valley,Chile,Kingston Family,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0", red
646,54.0,Chardonnay,Bacigalupi Vineyards,"Russian River Valley, Sonoma",California,US,Kobler,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
647,22.0,Grenache,Rose of,"Santa Ynez Valley, Central Coast",California,US,Koehler,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
648,35.0,Mourvèdre,Art Den Hoed Vineyard,"Yakima Valley, Columbia Valley",Washington,US,Ardor,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
649,20.0,Chardonnay,Reserve,"Clarksburg, Central Valley",California,US,Bogle,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
650,22.0,Portuguese Red,Herdade São Miguel Art. Terra Amphora,nan,Alentejano,Portugal,Casa Agricola Alexandre Relvas,"1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0", red
651,20.0,Pinot Blanc,Heritage Vines Estate Grown,"Chalone, Central Coast",California,US,Chalone Vineyard,"0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
652,50.0,Sparkling Blend,Three Graces,nan,England,England,Chapel Down,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", white or rosé
653,30.0,Provence red blend,Tradition,Bandol,Provence,France,Château d'Azur,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
654,23.0,Petite Sirah,Old VInes Rio Cedar VIneyard,"Paso Robles, Central Coast",California,US,Clayhouse,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
655,27.0,Malbec,K-Lys,Cahors,Southwest France,France,Clos Troteligotte,"1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0", red
656,22.0,Malbec,K-Or,Cahors,Southwest France,France,Clos Troteligotte,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
657,125.0,Syrah,Gravas del Maipo,nan,Buin,Chile,Concha y Toro,"1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
658,49.0,Petite Sirah,Worth Hill VIneyard,"Paso Robles, Central Coast",California,US,Culton,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
659,48.0,Syrah,Altamont,"Russian River Valley, Sonoma",California,US,Dehlinger,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0", red
660,19.0,Riesling,Glintzberg,Alsace,Alsace,France,Domaine Roland Schmitt,"0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0", white
661,18.0,Riesling,Les Princes Abbés,Alsace,Alsace,France,Domaines Schlumberger,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
662,68.0,Syrah,Grand Ciel Grand Ciel Vineyard,"Red Mountain, Columbia Valley",Washington,US,Doyenne,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
663,18.0,Rosé,Uncle Roget's Grenache,"Yolo County, Central Valley",California,US,Rock Wall,"0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", pink
664,15.0,Red Blend,Poggio al Tufo Rompi­collo,Maremma Toscana,Tuscany,Italy,Tommasi,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
665,20.0,Viognier,Sainte-Fleur,Vin de Pays Var,Provence,France,Triennes,"0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
666,16.0,Sparkling Blend,Aliguer Brut Vintage,Cava,Catalonia,Spain,Agustí Torelló Mata,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
667,,Portuguese White,Aveleda Branco,nan,Douro,Portugal,Aveleda,"0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0", white
668,29.0,Malvasia Bianca,Betty's Vineyard,"St. Helena, Napa",California,US,Ballentine,"0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
669,11.0,White Blend,Centine Bianco,Toscana,Tuscany,Italy,Banfi,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
670,12.0,Portuguese White,Pancas Branco,nan,Lisboa,Portugal,Companhia das Quintas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
671,,Red Blend,Cuvée de Flars,Marcillac,Southwest France,France,Domaine Laurens,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
672,,Malbec,Phebus,Mendoza,Mendoza Province,Argentina,Fabre Montmayou,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
673,42.0,Zinfandel,Bacigalupi Vineyard,"Russian River Valley, Sonoma",California,US,Gracianna,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
674,20.0,Cabernet Blend,Xikbal Baja,nan,Valle de Guadalupe,Mexico,HQSA,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0", red
675,10.0,Syrah,Vinhas Altas Reserva,nan,Tejo,Portugal,Enoport,"0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
676,30.0,Red Blend,Riserva,Chianti Classico,Tuscany,Italy,Castello di Selvole,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
677,15.0,Bordeaux-style Red Blend,Château Soubiran,Côtes du Marmandais,Southwest France,France,Cave du Marmandais,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
678,25.0,Pinot Noir,The Fog Prince,"Santa Barbara County, Central Coast",California,US,Inconceivable,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
679,30.0,Chardonnay,C.S. Ridge Vineyard,"Sonoma Valley, Sonoma",California,US,Kunde,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
680,15.0,Red Blend,Scrubby Rise Shiraz-Cabernet Sauvignon-Petit Verdot,Adelaide,South Australia,Australia,Wirra Wirra,"0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
681,9.0,Portuguese White,Monte Claros Colheita Branco,nan,Alentejo,Portugal,Adega Cooperativa de Borba,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
682,10.0,Merlot-Tannat,Brumont,Côtes de Gascogne,Southwest France,France,Alain Brumont,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
683,20.0,Red Blend,Tootsie,"Oregon, Oregon Other",Oregon,US,Maragas,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
684,15.0,Sauvignon Blanc,Lagoalva,nan,Tejo,Portugal,Quinta da Lagoalva de Cima,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0", white
685,11.0,Portuguese White,Porrais,nan,Douro,Portugal,Quinta de Porrais,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
686,15.0,Portuguese White,Margaride's,nan,Tejo,Portugal,Quinta do Casal Monteiro,"0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
687,18.0,Red Blend,Tenuta Santedame,Chianti Classico,Tuscany,Italy,Ruffino,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
688,14.0,Chardonnay,Reserva,nan,Leyda Valley,Chile,Santa Ema,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
689,36.0,Red Blend,Phoenix,"Southern Oregon, Southern Oregon",Oregon,US,Season,"0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0", red
690,45.0,Zinfandel,Three Valleys,"Sonoma County, Sonoma",California,US,St. Francis,"1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
691,40.0,Zinfandel,Two Acre Villa Andriana Vineyard,"Calistoga, Napa",California,US,Summers,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
692,19.0,Chardonnay,Signpost,"Sonoma Coast, Sonoma",California,US,Trig Point,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1", white
693,,Red Blend,District Z Gran Selezione,Chianti Classico,Tuscany,Italy,Villa Mangiacane,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
694,10.0,Carmenère,Puerto Viejo Estate Bottled Reserve,nan,Curicó Valley,Chile,Viña Requingua,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", red
695,45.0,Zinfandel,Black Boar,"Dry Creek Valley, Sonoma",California,US,Quivira,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
696,23.0,Syrah,Antu,nan,Colchagua Valley,Chile,MontGras,"0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0", red
697,36.0,Syrah,Boushey Vineyard,"Yakima Valley, Columbia Valley",Washington,US,Ott & Murphy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
698,40.0,Grüner Veltliner,Goldjoch Reserve,nan,Weinviertel,Austria,R&A; Pfaffl,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
699,25.0,Red Blend,Proprietary,"Central Coast, Central Coast",California,US,Smith & Hook,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
700,18.0,Zinfandel,Rocky Top,"Amador County, Sierra Foothills",California,US,Sobon Estate,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
701,25.0,Red Blend,Proprietary,"California, California Other",California,US,SOLID,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
702,19.0,Gamay,Vieilles Vignes,Côte de Brouilly,Beaujolais,France,Stéphane Aviron,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
703,90.0,Red Blend,Oreno,Toscana,Tuscany,Italy,Tenuta Sette Ponti,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
704,80.0,Cabernet Sauvignon,Estate Grown,"Stags Leap District, Napa",California,US,Terlato,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
705,22.0,White Blend,Symphony,"Yorkville Highlands, North Coast",California,US,Theopolis,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
706,54.0,Pinot Noir,Estate Vineyards,nan,Central Otago,New Zealand,Two Paddocks,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
707,24.0,White Blend,Zelo Bianco,"Carneros, Napa-Sonoma",California,US,Uvaggio,"0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
708,38.0,Grüner Veltliner,Eichenstaude Riede Kiesling,nan,Kamptal,Austria,Kurt Angerer,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
709,,Weissburgunder,Reserve,nan,Niederösterreich,Austria,Martinshof,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
710,32.0,Red Blend,Rosso,Bolgheri,Tuscany,Italy,Le Macchiole,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
711,42.0,Sparkling Blend,Brut Cuvée,"Russian River Valley, Sonoma",California,US,Longboard,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
712,39.0,Sparkling Blend,Brut Reserve,"Napa County, Napa",California,US,Mumm Cuvée Napa,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
713,60.0,Sangiovese,Il Carbonaione,Alta Valle della Greve,Tuscany,Italy,Poggio Scalette,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
714,150.0,Sangiovese,Riserva,Brunello di Montalcino,Tuscany,Italy,Siro Pacenti,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
715,17.0,Melon,Pavillon Sur Lie,Muscadet Côtes de Grandlieu,Loire Valley,France,Domaine du Haut Bourg,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
